ネームキー,名前(日本語),名前(英語)
skill_1_name,討伐報酬：3メダル,Bounty Reward: 3 Medals
Skill_1_des,敵を撃破時、10％の確率でメダルが3枚排出される。,When an enemy is defeated there is a 10% chance to spawn 3 medals.
skill_2_name,フォースサンダーメダル,Force Thunder Medal
Skill_2_des,メダル発射時、1％の確率でフォースサンダーメダルが発射される。\nこのメダルを獲得するとフォースサンダーが発動する。\n威力1000％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Force Thunder Medal. Collecting this medal activates Force Thunder. Power: 1000% × Critical Damage Multiplier.
skill_3_name,最弱種族王の威厳,Dignity of the Weakest Tribe King
Skill_3_des,敵を撃破時、30％の確率で装備のドロップ判定が2回行われる。,When an enemy is defeated there is a 30% chance that the equipment drop check occurs twice.
skill_4_name,深淵灯火の導き,Guidance of the Abyssal Flame
Skill_4_des,敵を撃破時、30％の確率で称号のドロップ判定が2回行われる。,When an enemy is defeated there is a 30% chance that the title drop check occurs twice.
skill_5_name,討伐報酬：5メダル,Bounty Reward: 5 Medals
Skill_5_des,敵を撃破時、10％の確率でメダルが5枚排出される。,When an enemy is defeated there is a 10% chance to spawn 5 medals.
skill_6_name,ファイヤーボールメダル,Fireball Medal
Skill_6_des,メダル発射時、1％の確率でファイヤーボールメダルが発射される。\nこのメダルを獲得するとファイヤーボールが発動する。\n威力550％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Fireball Medal. Collecting this medal activates Fireball. Power: 550% × Critical Damage Multiplier.
skill_7_name,血骸喰らいの呪い,Curse of the Blood-Bone Devourer
Skill_7_des,敵を撃破時、15％の確率で攻撃力が1％上昇する,When an enemy is defeated there is a 15% chance to increase Attack Power by 1%.
skill_8_name,討伐報酬：8メダル,Bounty Reward: 8 Medals
Skill_8_des,敵を撃破時、10％の確率でメダルが8枚排出される。,When an enemy is defeated there is a 10% chance to spawn 8 medals.
skill_9_name,メテオメダル,Meteor Medal
Skill_9_des,メダル発射時、1％の確率でメテオメダルが発射される。\nこのメダルを獲得するとメテオが発動する。\n威力300％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Meteor Medal. Collecting this medal activates Meteor. Power: 300% × Critical Damage Multiplier.
skill_10_name,アイスブレードメダル,Ice Blade Medal
Skill_10_des,メダル発射時、1％の確率でアイスブレードメダルが発射される。\nこのメダルを獲得するとアイスブレードが発動する。\n威力325％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire an Ice Blade Medal. Collecting this medal activates Ice Blade. Power: 325% × Critical Damage Multiplier.
skill_11_name,討伐報酬：10メダル,Bounty Reward: 10 Medals
Skill_11_des,敵を撃破時、10％の確率でメダルが10枚排出される。,When an enemy is defeated there is a 10% chance to spawn 10 medals.
skill_12_name,黄金晶獣の報酬,Reward of the Golden Crystal Beast
Skill_12_des,メダル発射時、1％の確率で宝箱が発射される。\n宝箱を獲得すると50メダル排出される。,When firing a medal there is a 1% chance to launch a treasure chest. Collecting the chest spawns 50 medals.
skill_13_name,渦潮メダル,Maelstrom Medal
Skill_13_des,メダル発射時、1％の確率で渦潮メダルが発射される。\nこのメダルを獲得すると渦潮が発動する。\n威力280％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Maelstrom Medal. Collecting this medal activates Maelstrom. Power: 280% × Critical Damage Multiplier.
skill_14_name,討伐報酬：12メダル,Bounty Reward: 12 Medals
Skill_14_des,敵を撃破時、10％の確率でメダルが12枚排出される。,When an enemy is defeated there is a 10% chance to spawn 12 medals.
skill_15_name,蒼炎メダル,Azure Flame Medal
Skill_15_des,メダル発射時、1％の確率で蒼炎メダルが発射される。\nこのメダルを獲得すると蒼炎が発動する。\n威力1500％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire an Azure Flame Medal. Collecting this medal activates Azure Flame. Power: 1500% × Critical Damage Multiplier.
skill_16_name,ウィンドカッターメダル,Wind Cutter Medal
Skill_16_des,メダル発射時、1％の確率でウィンドカッターメダルが発射される。\nこのメダルを獲得するとウィンドカッターが発動する。\n威力1550％×クリティカルダメージ倍率,When firing a medal there is a 1% chance to fire a Wind Cutter Medal. Collecting this medal activates Wind Cutter. Power: 1550% × Critical Damage Multiplier.
skill_17_name,討伐報酬：15メダル,Bounty Reward: 15 Medals
Skill_17_des,敵を撃破時、10％の確率でメダルが15枚排出される。,When an enemy is defeated there is a 10% chance to spawn 15 medals.
