ネームキー,名前(日本語),名前(英語)
sy_1_name,静水の微笑み,Smile of Still Waters
sy_2_name,灼熱のご機嫌,Cheer of Scorching Heat
sy_3_name,芽吹く生命の笑顔,Blooming Life’s Smile
sy_4_name,紅蓮に吼える突進獣,Crimson Lotus Roaring Charger
sy_5_name,蒼氷を纏う沈黙の獣,Silent Beast Wrapped in Azure Ice
sy_6_name,重なりし彩層の主,Lord of Layered Rainbow Veils
sy_7_name,緑影の小狩人,Emerald Shadow Little Hunter
sy_8_name,鉄刃の蛮戦士,Ironblade Barbarian Warrior
sy_9_name,呪紋の邪術士,Runemark Dark Sorcerer
sy_10_name,肥大せし凶腕,Swollen Savage Arm
sy_11_name,錬成されし粘塊,Refined Slime Mass
sy_12_name,王冠を戴く略奪王,Crowned King of Plunder
sy_13_name,朽塔を這う影,Shadow Crawling the Ruined Tower
sy_14_name,雷光を纏う粘獣,Lightning-Clad Slime Beast
sy_15_name,薄闇の彷徨い,Wanderer of Dim Gloom
sy_16_name,嘆きの残響,Echo of Lamentation
sy_17_name,屍竜の咆哮,Roar of the Corpse Dragon
sy_18_name,終焉を告げる呪詛,Curse that Heralds the End
sy_19_name,洞穴の俊牙,Swift Fang of the Cavern
sy_20_name,月影の疾走,Moonshadow Sprint
sy_21_name,紅牙の狩人,Crimson Fang Hunter
sy_22_name,満月に狂う獣,Beast Maddened by the Full Moon
sy_23_name,氷嵐の魔狼,Demonic Wolf of Ice Storm
sy_24_name,傷痕を刻む獣王,Beast King Carving Scars
sy_25_name,恐怖を狩る影,Shadow that Hunts Fear
sy_26_name,腐蝕の粘液,Corrosive Slime
sy_27_name,漂う亡騎士,Drifting Death Knight
sy_28_name,墓守の鉄騎,Iron Rider of the Gravewatch
sy_29_name,冥火の小鬼灯,Netherfire Goblin Lantern
sy_30_name,骨界の終焉獣,Doom Beast of the Bone Realm
sy_31_name,白骨の兵卒,Soldier of White Bones
sy_32_name,砂海の捕食者,Predator of the Sand Sea
sy_33_name,黒砂の深淵,Abyss of Black Sand
sy_34_name,暗牙の伏兵,Ambusher of Dark Fangs
sy_35_name,封印されし巨殻,Sealed Colossal Shell
sy_36_name,溶岩奔流の獄獣,Infernal Beast of Lava Torrent
