ネームキー,名前(日本語),名前(英語)
s_1_name,双喜のスライムリング,Twin-Blessed Slime Ring
s_2_name,ファイヤーソード,Fire Sword
s_3_name,翠霊の芽杖,Emerald Spirit Sprout Staff
s_4_name,獄炎狼の守盾,Inferno Wolf Guardian Shield
s_5_name,氷咆蒼刃,Frost Roar Azure Blade
s_6_name,七彩雫の聖佩,Rainbow Droplet Sacred Amulet
s_7_name,朽木の棘棍,Rotwood Thorn Club
s_8_name,獅子骸の亡盾,Lion Remains Death Shield
s_9_name,翠骸の呪佩,Emerald Skull Cursed Pendant
s_10_name,冥角騎士の黒鎧,Dark-Horn Knight Black Armor
s_11_name,蒼氷晶の幽弓,Azure Ice Crystal Phantom Bow
s_12_name,骸王の荊冠,Bone King Thorn Crown
s_13_name,片眼魔の灯籠帯,One-Eyed Demon Lantern Belt
s_14_name,蜜螺旋の粘杖,Honey Spiral Slime Staff
s_15_name,幽白の亡霊外套,Pale Wraith Cloak
s_16_name,紅月魔刃の大鎌,Crimson Moon Demon Scythe
s_17_name,煉獄核の呪鎖,Purgatory Core Cursed Chain
s_18_name,蝙翼の深淵灯火,Batwing Abyss Lantern
s_19_name,獣王の裂爪,Beast King Rending Claw
s_20_name,銀狼将の蒼毛鎧,Silver Wolf General Fur Armor
s_21_name,炎竜刃の戦鎌,Flame Dragon War Scythe
s_22_name,熾核の竜呪佩,Blazing Core Dragon Curse Pendant
s_23_name,焔冠竜の焦王兜,Flame-Crowned Dragon Ashen Helm
s_24_name,煉獄歩兵の魔脚甲,Inferno Infantry Demon Greaves
s_25_name,毒霧骸の呪巻,Poison Mist Skull Cursed Scroll
s_26_name,翠獄スライムの魔瓶,Emerald Inferno Slime Magic Flask
s_27_name,聖蒼十字の守盾,Sacred Azure Cross Guard Shield
s_28_name,鎖骸封じの禁書,Chained Skull Sealing Forbidden Tome
s_29_name,深海霊光の護符,Deep Sea Spirit Glow Talisman
s_30_name,血骸喰らいの呪剣,Blood-Skull Devourer Cursed Sword
s_31_name,骸王の破滅棍,Bone King Doom Staff
s_32_name,黄金蛇王の牙輪,Golden Serpent King Fang Ring
s_33_name,漆黒獣の影爪,Black Beast Shadow Claw
s_34_name,冥狼の鎖脚,Nether Wolf Chain Boots
s_35_name,双蛇炎王の魔杖,Twin Serpent Flame King Staff
s_36_name,紅核竜印の呪佩,Crimson Core Dragon Seal Pendant
s_37_name,星詠みの蒼月帽,Star Seer Azure Moon Cap
s_38_name,禁呪解放の魔導書,Forbidden Curse Release Grimoire
s_39_name,焔鎧獣の爪手甲,Flame Armor Beast Claw Gauntlets
s_40_name,業火灯の焦杖,Hellfire Lantern Scorch Staff
s_41_name,氷晶霊刃の魔槍,Ice Crystal Spirit Blade Spear
